id,CustomerNumber,item_id,description,quantity_used,delivery_frequency,delivery_day,billing_type,billing_frequency,customer_price,unit_price,billing_percentage,auto_soil_count,last_delivery_date
1,171207,1640000,APRON-BIB-POLY-BLACK,60,Weekly,1,,Monthly,,,,,
2,171207,11281619,TOWEL-BARMOP-BLSTR,260,Weekly,1,,Monthly,,,,,
3,201377,11281619,TOWEL-BARMOP-BLSTR,280,Weekly,1,,Monthly,,,,,
4,288421,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,1,,Monthly,,,,,
5,257245,11601837,TOWEL-FACE,20,Weekly,1,,Monthly,,,,,
6,257401,11601837,TOWEL-FACE,40,Weekly,1,,Monthly,,,,,
7,171207,11720000,Towel-Kitchen,50,Weekly,1,,Monthly,,,,,
8,257331,11720000,Towel-Kitchen,100,Weekly,1,,Monthly,,,,,
9,171069,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
10,257244,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
11,257245,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
12,257362,12240000,Towel-Shop-Dyed,90,Weekly,1,,Monthly,,,,,
13,257401,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
14,265021,12240000,Towel-Shop-Dyed,300,Weekly,1,,Monthly,,,,,
15,287458,12240000,Towel-Shop-Dyed,200,Weekly,1,,Monthly,,,,,
16,300102,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
17,317516,12240000,Towel-Shop-Dyed,350,Weekly,1,,Monthly,,,,,
18,318368,12240000,Towel-Shop-Dyed,300,Weekly,1,,Monthly,,,,,
19,319710,12240000,Towel-Shop-Dyed,50,Weekly,1,,Monthly,,,,,
20,294828,12301818,TOWEL-SHOP-WHITE,200,Weekly,1,,Monthly,,,,,
21,171069,12940000,COVER-FENDER-AUTO,2,Weekly,1,,Monthly,,,,,
22,265021,12940000,COVER-FENDER-AUTO,4,Weekly,1,,Monthly,,,,,
23,287458,12940000,COVER-FENDER-AUTO,7,Weekly,1,,Monthly,,,,,
24,318368,12940000,COVER-FENDER-AUTO,20,Weekly,1,,Monthly,,,,,
25,300102,14200002,Twl-Micro-Grn-15x16 ,25,Weekly,1,,Monthly,,,,,
26,318368,14200002,Twl-Micro-Grn-15x16 ,100,Weekly,1,,Monthly,,,,,
27,257401,40766615,SHEET-SNGL-DC-66X115,10,Weekly,1,,Monthly,,,,,
28,257401,41082030,BATH MAT-WHITE,15,Weekly,1,,Monthly,,,,,
29,257244,41340000,Towel-Bath-Jumbo,8,Weekly,1,,Monthly,,,,,
30,257331,41340000,Towel-Bath-Jumbo,100,Weekly,1,,Monthly,,,,,
31,257401,41340000,Towel-Bath-Jumbo,20,Weekly,1,,Monthly,,,,,
32,300102,41340000,Towel-Bath-Jumbo,20,Weekly,1,,Monthly,,,,,
33,257401,41820000,WASH CLOTH,25,Weekly,1,,Monthly,,,,,
34,300102,70622400,Dust Mop-24 Untreate,2,Weekly,1,,Monthly,,,,,
35,317516,70622400,Dust Mop-24 Untreate,2,Weekly,1,,Monthly,,,,,
36,257244,70623600,Dust Mop-36 Untreate,1,Weekly,1,,Monthly,,,,,
37,257250,70623600,Dust Mop-36 Untreate,1,Weekly,1,,Monthly,,,,,
38,257331,70623600,Dust Mop-36 Untreate,4,Weekly,1,,Monthly,,,,,
39,257401,70623600,Dust Mop-36 Untreate,1,Weekly,1,,Monthly,,,,,
40,288421,70624200,Dust Mop-42 Untreate,1,Weekly,1,,Monthly,,,,,
41,171069,70626000,Dust Mop-60 Untreate,1,Weekly,1,,Monthly,,,,,
42,288421,70626000,Dust Mop-60 Untreate,1,Weekly,1,,Monthly,,,,,
43,257331,70701800,"MICRO F MOP-18""",20,Weekly,1,,Monthly,,,,,
44,288421,70701800,"MICRO F MOP-18""",6,Weekly,1,,Monthly,,,,,
45,189813,76080304,MAT-NY/RB-OX GRY-3X4,3,Weekly,1,,Monthly,,,,,
46,257244,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,1,,Monthly,,,,,
47,257245,76080304,MAT-NY/RB-OX GRY-3X4,3,Weekly,1,,Monthly,,,,,
48,257401,76080304,MAT-NY/RB-OX GRY-3X4,5,Weekly,1,,Monthly,,,,,
49,265021,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,1,,Monthly,,,,,
50,287458,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,1,,Monthly,,,,,
51,294828,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,1,,Monthly,,,,,
52,300102,76080304,MAT-NY/RB-OX GRY-3X4,8,Weekly,1,,Monthly,,,,,
53,314701,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,1,,Monthly,,,,,
54,317516,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,1,,Monthly,,,,,
55,257244,76080310,MAT-NY/RB-OX GRY3X10,2,Weekly,1,,Monthly,,,,,
56,265021,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,1,,Monthly,,,,,
57,317516,76080310,MAT-NY/RB-OX GRY3X10,3,Weekly,1,,Monthly,,,,,
58,189813,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,1,,Monthly,,,,,
59,257244,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,1,,Monthly,,,,,
60,257331,76080406,MAT-NY/RB-OX GRY-4X6,9,Weekly,1,,Monthly,,,,,
61,317516,76080406,MAT-NY/RB-OX GRY-4X6,3,Weekly,1,,Monthly,,,,,
62,265021,80101100,TOWEL-ROLL-BLUE-LRG,3,Weekly,1,,Monthly,,,,,
63,287458,80101100,TOWEL-ROLL-BLUE-LRG,2,Weekly,1,,Monthly,,,,,
64,171209,87399023,MOP-WET-TUBE-MF-BL-L,10,Weekly,1,,Monthly,,,,,
65,201377,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,1,,Monthly,,,,,
66,257250,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,1,,Monthly,,,,,
67,265021,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,1,,Monthly,,,,,
68,287458,87399023,MOP-WET-TUBE-MF-BL-L,4,Weekly,1,,Monthly,,,,,
69,288421,87399023,MOP-WET-TUBE-MF-BL-L,3,Weekly,1,,Monthly,,,,,
70,317516,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,1,,Monthly,,,,,
71,171622,1500000,APRON-BIB-SPUN-WHITE,20,Weekly,5,,Monthly,,,,,
72,311744,1500000,APRON-BIB-SPUN-WHITE,50,Weekly,5,,Monthly,,,,,
73,306464,1640000,APRON-BIB-POLY-BLACK,40,Weekly,5,,Monthly,,,,,
74,318143,1640000,APRON-BIB-POLY-BLACK,30,Weekly,5,,Monthly,,,,,
75,319868,1640000,APRON-BIB-POLY-BLACK,14,Weekly,5,,Monthly,,,,,
76,320825,1640000,APRON-BIB-POLY-BLACK,50,Weekly,5,,Monthly,,,,,
77,320827,1640000,APRON-BIB-POLY-BLACK,50,Weekly,5,,Monthly,,,,,
78,321845,1640000,APRON-BIB-POLY-BLACK,20,Weekly,5,,Monthly,,,,,
79,323106,1640000,APRON-BIB-POLY-BLACK,50,Weekly,5,,Monthly,,,,,
80,306464,11100000,GRILL-PAD,15,Weekly,5,,Monthly,,,,,
81,317904,11100000,GRILL-PAD,25,Weekly,5,,Monthly,,,,,
82,318143,11100000,GRILL-PAD,20,Weekly,5,,Monthly,,,,,
83,321845,11100000,GRILL-PAD,15,Weekly,5,,Monthly,,,,,
84,323106,11100000,GRILL-PAD,50,Weekly,5,,Monthly,,,,,
85,171523,11281619,TOWEL-BARMOP-BLSTR,80,Weekly,5,,Monthly,,,,,
86,171622,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,5,,Monthly,,,,,
87,171633,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,5,,Monthly,,,,,
88,207845,11281619,TOWEL-BARMOP-BLSTR,100,Weekly,5,,Monthly,,,,,
89,237322,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,5,,Monthly,,,,,
90,282978,11281619,TOWEL-BARMOP-BLSTR,80,Weekly,5,,Monthly,,,,,
91,290083,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,5,,Monthly,,,,,
92,304339,11281619,TOWEL-BARMOP-BLSTR,120,Weekly,5,,Monthly,,,,,
93,306464,11281619,TOWEL-BARMOP-BLSTR,80,Weekly,5,,Monthly,,,,,
94,318143,11281619,TOWEL-BARMOP-BLSTR,80,Weekly,5,,Monthly,,,,,
95,319868,11281619,TOWEL-BARMOP-BLSTR,20,Weekly,5,,Monthly,,,,,
96,320825,11281619,TOWEL-BARMOP-BLSTR,200,Weekly,5,,Monthly,,,,,
97,320826,11281619,TOWEL-BARMOP-BLSTR,60,Weekly,5,,Monthly,,,,,
98,320827,11281619,TOWEL-BARMOP-BLSTR,80,Weekly,5,,Monthly,,,,,
99,321845,11281619,TOWEL-BARMOP-BLSTR,40,Weekly,5,,Monthly,,,,,
100,323106,11281619,TOWEL-BARMOP-BLSTR,250,Weekly,5,,Monthly,,,,,
101,323109,11281619,TOWEL-BARMOP-BLSTR,175,Weekly,5,,Monthly,,,,,
102,285622,11601837,TOWEL-FACE,80,Weekly,5,,Monthly,,,,,
103,288386,11641629,TOWEL-GLASS,150,Weekly,5,,Monthly,,,,,
104,323109,11641629,TOWEL-GLASS,75,Weekly,5,,Monthly,,,,,
105,171633,11720000,Towel-Kitchen,25,Weekly,5,,Monthly,,,,,
106,233643,11720000,Towel-Kitchen,25,Weekly,5,,Monthly,,,,,
107,274083,11720000,Towel-Kitchen,75,Weekly,5,,Monthly,,,,,
108,306464,11720000,Towel-Kitchen,100,Weekly,5,,Monthly,,,,,
109,315175,11720000,Towel-Kitchen,40,Weekly,5,,Monthly,,,,,
110,317904,11720000,Towel-Kitchen,175,Weekly,5,,Monthly,,,,,
111,321845,11720000,Towel-Kitchen,50,Weekly,5,,Monthly,,,,,
112,285029,12221818,Towel-Shop-Blue,100,Weekly,5,,Monthly,,,,,
113,286380,12221818,Towel-Shop-Blue,100,Weekly,5,,Monthly,,,,,
114,171573,12240000,Towel-Shop-Dyed,150,Weekly,5,,Monthly,,,,,
115,171574,12240000,Towel-Shop-Dyed,25,Weekly,5,,Monthly,,,,,
116,171747,12240000,Towel-Shop-Dyed,50,Weekly,5,,Monthly,,,,,
117,211150,12240000,Towel-Shop-Dyed,98,Weekly,5,,Monthly,,,,,
118,231683,12240000,Towel-Shop-Dyed,100,Weekly,5,,Monthly,,,,,
119,253749,12240000,Towel-Shop-Dyed,72,Weekly,5,,Monthly,,,,,
120,265871,12240000,Towel-Shop-Dyed,100,Weekly,5,,Monthly,,,,,
121,266010,12240000,Towel-Shop-Dyed,100,Weekly,5,,Monthly,,,,,
122,288386,12240000,Towel-Shop-Dyed,20,Weekly,5,,Monthly,,,,,
123,308043,12240000,Towel-Shop-Dyed,150,Weekly,5,,Monthly,,,,,
124,320180,12240000,Towel-Shop-Dyed,100,Weekly,5,,Monthly,,,,,
125,320605,12240000,Towel-Shop-Dyed,50,Weekly,5,,Monthly,,,,,
126,320635,12240000,Towel-Shop-Dyed,50,Weekly,5,,Monthly,,,,,
127,321167,12240000,Towel-Shop-Dyed,50,Weekly,5,,Monthly,,,,,
128,322116,12240000,Towel-Shop-Dyed,150,Weekly,5,,Monthly,,,,,
129,323107,12240000,Towel-Shop-Dyed,100,Weekly,5,,Monthly,,,,,
130,171573,12701526,TOWEL-WINDSHIELD,25,Weekly,5,,Monthly,,,,,
131,265871,12900000,COVER-SEAT-AUTO,4,Weekly,5,,Monthly,,,,,
132,171573,12940000,COVER-FENDER-AUTO,4,Weekly,5,,Monthly,,,,,
133,266010,12940000,COVER-FENDER-AUTO,3,Weekly,5,,Monthly,,,,,
134,288386,12940000,COVER-FENDER-AUTO,2,Weekly,5,,Monthly,,,,,
135,322116,12940000,COVER-FENDER-AUTO,3,Weekly,5,,Monthly,,,,,
136,318143,14200002,Twl-Micro-Grn-15x16 ,50,Weekly,5,,Monthly,,,,,
137,319868,14200002,Twl-Micro-Grn-15x16 ,25,Weekly,5,,Monthly,,,,,
138,320605,14200002,Twl-Micro-Grn-15x16 ,50,Weekly,5,,Monthly,,,,,
139,323109,14200002,Twl-Micro-Grn-15x16 ,75,Weekly,5,,Monthly,,,,,
140,303253,14200006,TWL-MICRO-GRN-15X25,60,Weekly,5,,Monthly,,,,,
141,280974,41669525,TWL- BEAUTY STM-BLK,40,Weekly,5,,Monthly,,,,,
142,171573,41720000,Towel-School-Yellow,10,Weekly,5,,Monthly,,,,,
143,246580,41720000,Towel-School-Yellow,30,Weekly,5,,Monthly,,,,,
144,282984,41720000,Towel-School-Yellow,80,Weekly,5,,Monthly,,,,,
145,311744,70544200,Dust Mop-42         ,6,Weekly,5,,Monthly,,,,,
146,290083,70622400,Dust Mop-24 Untreate,1,Weekly,5,,Monthly,,,,,
147,321167,70622400,Dust Mop-24 Untreate,1,Weekly,5,,Monthly,,,,,
148,323106,70622400,Dust Mop-24 Untreate,4,Weekly,5,,Monthly,,,,,
149,303253,70623600,Dust Mop-36 Untreate,1,Weekly,5,,Monthly,,,,,
150,304339,70623600,Dust Mop-36 Untreate,2,Weekly,5,,Monthly,,,,,
151,320605,70623600,Dust Mop-36 Untreate,2,Weekly,5,,Monthly,,,,,
152,320826,70623600,Dust Mop-36 Untreate,10,Weekly,5,,Monthly,,,,,
153,323106,70623600,Dust Mop-36 Untreate,4,Weekly,5,,Monthly,,,,,
154,171622,70742400,WET MOP-LARGE,1,Weekly,5,,Monthly,,,,,
155,207845,70742400,WET MOP-LARGE,9,Weekly,5,,Monthly,,,,,
156,304339,74000310,Mat-Graphic-3x10    ,4,Weekly,5,,Monthly,,,,,
