CustomerNumber,AccountName,Address,City,State,ZipCode,RouteNumber,ServiceFrequency,ServiceDays,Email,Phone,CreatedAt,password_hash,role
169619,Mineral Lodge - Seasonal,38348 State Highway 36 E,Mineral,CA,96063,75,Weekly,F,,,2025-03-05 00:29:16,,customer
170297,Fast Track Gas,8099 CA-99 E,Los Molinos,CA,96055,75,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
170411,Jackson Heights School,225 Jackson St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
170422,Red Bluff School Office,1755 Airport Blvd,Red Bluff,CA,96080,75,Weekly,W,,,2025-03-05 00:29:16,,customer
170444,Vista Middle School,1770 S Jackson St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
170446,Dignity Health - St Elizabeth,2550 Sr Mary Columba Dr,Red Bluff,CA,96080,75,Weekly,M,,,2025-03-05 00:29:16,,customer
170449,F M Valero,1 Sutter St,Red Bluff,CA,96080,75,Weekly,F,,,2025-03-05 00:29:16,,customer
170458,Meteer School,685 Kimball Rd,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
170461,Bidwell School,1256 Walnut St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
170617,S.C.P.,6959 Eastside Rd,Redding,CA,96001,05,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
170640,Phil's Propeller,3037 Twin View Blvd,Shasta Lake,CA,96019,05,Weekly,R,,,2025-03-05 00:29:16,,customer
170657,Columbia School Kitchen,10142 Old Oregon Trl,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
170661,De Ja Vu Restaurant,1177 Shasta Street,Redding,CA,96001,12,Weekly,R,,,2025-03-05 00:29:16,,customer
170671,Redding Oil Co. Pinegrove,2725 Cascade Blvd,Shasta Lake City,CA,96019,05,Weekly,R,,,2025-03-05 00:29:16,,customer
170682,Cattlemen's - Redding,2184 Hilltop Dr,Redding,CA,96002,12,Weekly,MWF,,,2025-03-05 00:29:16,,customer
170686,Wolfgang,1117 Parkview Ave,Redding,CA,96001,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
170691,Good News - Kitchen,2842 S Market St,Redding,CA,96001,05,Weekly,M,,,2025-03-05 00:29:16,,customer
170696,COR Building Maintenance rdg,"20055 Viking Way, Bldg 4",Redding,CA,960038295,05,Weekly,F,,,2025-03-05 00:29:16,,customer
170698,Outdoor Creations,2270 Barney Rd,Anderson,CA,96007,05,Weekly,W,,,2025-03-05 00:29:16,,customer
170717,Riverview Restaurant - Seasonal,4422 Gover Rd,Anderson,CA,96007,05,Weekly,W,,,2025-03-05 00:29:16,,customer
170751,Outback Steakhouse    522,910 Dana Dr,Redding,CA,960034079,12,Weekly,MWF,,,2025-03-05 00:29:16,,customer
170775,Holiday Mkt 59 Line,3315 Placer St,Redding,CA,96001,09,Weekly,F,,,2025-03-05 00:29:16,,customer
170777,Holiday Mkt #59 Groc,3315 Placer St,Redding,CA,96001,09,Weekly,F,,,2025-03-05 00:29:16,,customer
170805,Cold Stone Creamery,913 Dana Dr,Redding,CA,96003,12,Weekly,W,,,2025-03-05 00:29:16,,customer
170808,Redding Dermatology,2107 Airpark Dr,Redding,CA,96001,11,Weekly,T,,,2025-03-05 00:29:16,,customer
170857,Dr.S Schalo & Bigelow,2315 Bechelli Ln,Redding,CA,96002,05,Weekly,M,,,2025-03-05 00:29:16,,customer
170864,Wilgus Fire/Safeguard,4544 Mountain Lakes Boulevard,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
170891,SC-SHASCOM,3101 South St,Redding,CA,96001,09,Bi-Weekly,F,,,2025-03-05 00:29:16,,customer
