id,c0
169619,Mineral Lodge - Seasonal
170297,Fast Track Gas
170411,Jackson Heights School
170422,Red Bluff School Office
170444,Vista Middle School
170446,Dignity Health - St Elizabeth
170449,F M Valero
170458,Meteer School
170461,Bidwell School
170617,S.C.P.
170640,Phil's Propeller
170657,Columbia School Kitchen
170661,De Ja Vu Restaurant
170671,Redding Oil Co. Pinegrove
170682,Cattlemen's - Redding
170686,Wolfgang
170691,Good News - Kitchen
170696,COR Building Maintenance rdg
170698,Outdoor Creations
170717,Riverview Restaurant - Seasonal
170751,Outback Steakhouse    522
170775,Holiday Mkt 59 Line
170777,Holiday Mkt #59 Groc
170805,Cold Stone Creamery
170808,Redding Dermatology
170857,Dr.S Schalo & Bigelow
170864,Wilgus Fire/Safeguard
170891,SC-SHASCOM
170898,Shasta Lake Fires - D/S
170903,Waynes Truck Service
170914,COR Foothill Water Treatrdg
171009,Redding Urologic Asn
171025,Kampai Sushi
171031,Dudes Drive-In
171069,Youngman Trucking
171091,Holiday Mkt 34 Linen
171093,Holiday Mkt #34 Groc
171106,Western Hydro Corp
171122,Miniature Precision
171138,Lanny's Engines
171159,Systems Plus
171161,Fedex Ground
171172,Bob's Tire
171176,Holiday Mrk 40 Linen
171178,Holiday Mkt #40 Groc
171197,North Main Equipment
171207,Sav-Mor #12 Linen
171209,Sav-Mor #12 Groc
171215,Cascade Un Em Trans
171223,Dal-Tile
171235,Canned Food Co.
171256,Los Mariachi's
171271,Lulu's Restaurant
171294,In & Out Market
171309,Leckey
171353,Comfort Inn & Suites - Susanville
171355,Susanville Trk/Auto
171400,Mchale Sign Co.
171410,SC-Public Health Lab
171474,Seco Manufacturing  Co.
171518,Susanville Sanitary Dist
171523,BMC-Banner Lassen Medical
171559,In-N-Out Burger #137
171567,Mazatlan Grill
171573,Susanville Tow
171574,Lassen Tire
171575,Shingletown Auto Parts
171579,Holiday Mkt 45 Linen
171581,Holiday Mkt #45 Groc
171613,Babcock's Equip Repair
171622,Idaho Grocery
171633,Kentucky Fried Chicken
171682,Reeds Market
171730,FCCC - Shasta Col Smg Refer
171747,Reynolds Radiator Repair
171779,Giff's Restaurant
186872,Guy Rents
189813,Clear Creek Grocery
191360,Becca's Cafe
194151,Simpson Events
194602,Red Bluff Outdoor Power
195599,North State Towing
200421,BPS Supply Group
201377,Monarch Learning Crt
202242,Redding Drywall
202491,TYE DYE CAFE
203296,Golden State Farm Credit- remodel
205202,Action Axle & Suspension
206029,Frank Johnson's Uphol
206668,Urban Retreat - D/S
207519,Shasta High Food Court
207845,CINTAS STARBUCKS #8114/340000782
209005,Mountain View School
209405,PG&E Rdg Gc Line
210370,Dr Nilges
211150,TNS Trucking
213368,North Redding Valero
213537,Save Mart #477 Meat
213538,Save Mart #477 Grocery
213539,Save Mart #477 Produce
213540,Save Mart #477 Bakery
213625,FoodMaxx #476 Meat
213626,FoodMaxx #476 Produce
213627,FoodMaxx #476 Bakery
213628,FoodMaxx #476 Grocery
214014,Save Mart #477 Deli
214581,Reynolds Ranch Farm
214607,Powerdraulics
215590,Jacks Restaurant
215801,SDX Shasta Regional RMC#39855001
218695,Womens Health Specialists - Redding
