item_id,description,category,is_active,standardization_score
440000,Service Charge      ,General,1,1
1100000,Apron-Bib-Cot-Royblu,General,1,1
1220000,Apron-Bib-Dc-Black,General,1,1
1500000,APRON-BIB-SPUN-WHITE,General,1,12
1640000,APRON-BIB-POLY-BLACK,General,1,103
1660000,Apron-Bib-Poly-Blue,General,1,1
1820000,Apron-Bib-P-Forstgrn,General,1,1
1900000,APRON-BIB-POLY-RED,General,1,6
2410000,APRN-BISTRO-SPUN-BLK,General,1,1
2600000,APRON-4WAY-DC-WHITE,General,1,3
7244000,Hyperbaric-Pat-Gown,General,1,2
7244234,Hyperbaric-Plw Slip,General,1,2
7246604,Hyperbaric-Twin Sht,General,1,2
7247090,Hyperbaric-Bath Blnk,General,1,2
11100000,GRILL-PAD,General,1,57
11281619,TOWEL-BARMOP-BLSTR,General,1,226
11300250,Towel-Bar-Mop-Bagged,General,1,10
11421836,TOWEL-DISH,General,1,5
11601837,TOWEL-FACE,General,1,59
11641629,TOWEL-GLASS,General,1,4
11720000,Towel-Kitchen,General,1,105
11920000,Towel-Steam-Bar,General,1,7
12221818,Towel-Shop-Blue,General,1,11
12240000,Towel-Shop-Dyed,General,1,112
12301818,TOWEL-SHOP-WHITE,General,1,8
12701526,TOWEL-WINDSHIELD,General,1,3
12900000,COVER-SEAT-AUTO,General,1,2
12940000,COVER-FENDER-AUTO,General,1,31
12950000,Fender Buddy,General,1,1
14200000,MICF TWL 16X16 YEL,General,1,1
14200001,TWL-MICRO-BLUE-15X16,General,1,1
14200002,Twl-Micro-Grn-15x16 ,General,1,35
14200003,TWL-MICRO-YLW-15X16,General,1,12
14200006,TWL-MICRO-GRN-15X25,General,1,3
14573600,SHORTS-MEN-CARGO-BLK,General,1,1
14573800,SHORTS-MEN-CARGO-BLK,General,1,1
14574200,SHORTS-MEN-CARGO-BLK,General,1,1
17582000,Ct-Lab-Pop-W/Knit Cf,General,1,1
17585000,Ct-Lab-Pop-W/Knit Cf,General,1,1
21023634,Pant-Ind-Black-Flex,General,1,1
21023830,Pant-Ind-Black-Flex,General,1,1
21024031,Men Twill Pants 840P,General,1,1
21024032,Pant-Ind-Black-Flex,General,1,1
21024034,Pant-Ind-Black-Flex,General,1,1
21694233,PANT-FLEX-CARGO-BLK,General,1,1
22982000,CT CHEF WK BLK CV MD,General,1,1
22983000,CT CHEF WK CV BLK LG,General,1,1
22984000,CT CHEF WK BLK CV XL,General,1,1
31174000,Shirt-Wht-Dc-Grpr-Ss,General,1,1
31794000,Sh-Motosp Sil/Blk-Ss,General,1,1
31795000,Sh-Motosp Sil/Blk-Ss,General,1,1
31795100,Sh-Motosp Sil/Blk-Ss,General,1,1
32949900,SHT- DICKIE SHIRT SS,General,1,1
40304234,SLIP-P-42X36,General,1,29
40751012,SHEET-T250-QWN-WHT,General,1,1
40751412,SHEET-T250-KNG-WHT,General,1,1
40758412,SHEET-T250-DBL-WHT,General,1,1
40766604,Sheet-72-Single-D/C,General,1,2
40766615,SHEET-SNGL-DC-66X115,General,1,36
40789015,SHEET-90-QUEEN-D/C,General,1,7
40790815,SHEET-108-KING-D/C,General,1,2
41082030,BATH MAT-WHITE,General,1,10
41282450,TOWEL-BATH-DLX-24X50,General,1,1
41320000,Towel-Bath-Beige Xlg,General,1,1
41340000,Towel-Bath-Jumbo,General,1,41
41640000,Towel-Hand-Beige,General,1,1
41669525,TWL- BEAUTY STM-BLK,General,1,7
41720000,Towel-School-Yellow,General,1,7
41820000,WASH CLOTH,General,1,31
42202754,BTH TWL-B/LINEA ROMA,General,1,2
44300000,LNDRY BG-BIO HAZ-YLW,General,1,4
44320000,LAUNDRY BAG-PVC-LG,General,1,11
52166161,Cloth-V-Black-61x61,General,1,1
52365252,Cloth-P-Burgndy52x52,General,1,1
52366161,Cloth-P-Burgndy61x61,General,1,1
52625212,Cloth-P-Ivory-54x120,General,1,1
52625296,Cloth-P-Ivory-54x96,General,1,1
52626161,Cloth-P-Ivory-61x61 ,General,1,2
52628585,Cloth-P-Ivory-85x85,General,1,1
53505212,Cloth-P-White-54x120,General,1,4
53505252,Cloth-P-White-52x52 ,General,1,1
53505272,Cloth-P-White-54x72 ,General,1,1
53508585,Cloth-P-White-85x85 ,General,1,4
56102020,NAPKIN-BLK SPUN POLY,General,1,12
56105212,Cl-Caravel-Blk-52120,General,1,3
56105252,CL-CARAVEL-BLK-52X52,General,1,4
56105272,TC-SIG-BLACK 52X72,General,1,3
56108585,Cl-Caravel-Blk-85x85,General,1,3
56252020,Napkin-Caravl-Forgrn,General,1,2
56282020,Napkin-Caravel-Gold,General,1,1
56292020,NAPKIN-CARAVEL-GRAY,General,1,1
56392020,Napkin-Caravel-Ivory,General,1,1
56395252,Cl-Carvl-Ivory-52x52,General,1,1
56432020,Napkin-Caravl-Maroon,General,1,3
56436161,Cl-Crvl-Maroon-61x61,General,1,1
56502020,Napkin-Caravel-Navy,General,1,1
56652020,Napkin-Caravel-Red,General,1,3
56702020,Napkin-Crvl-Royalblu,General,1,1
56752020,Napkin-Caravl-Sndlwd,General,1,1
56902020,NAPKIN-WHT SPUN POLY,General,1,1
56905212,Cl-Caravel-Wht-52120,General,1,1
56905252,CL-WHT-SPUN 52X52,General,1,1
56906161,CL-WHT-SPUN-62X62,General,1,1
56908585,CL-WHT-SPUN-85X85,General,1,1
56951822,NAP-BISTRO-BLK/STR,General,1,1
70402032,MOP-WET-TB-MF-BL-XL,General,1,2
70423600,DUST MOP-LARGE,General,1,3
70424200,"DUST MOP-42""-GREEN",General,1,2
70442400,DUST MOP-MEDIUM,General,1,1
70542400,Dust Mop-24         ,General,1,1
70544200,Dust Mop-42         ,General,1,5
70622400,Dust Mop-24 Untreate,General,1,62
70623600,Dust Mop-36 Untreate,General,1,65
70624200,Dust Mop-42 Untreate,General,1,3
70626000,Dust Mop-60 Untreate,General,1,16
70666000,Dust Mop-60in-2hole ,General,1,2
70701800,"MICRO F MOP-18""",General,1,15
70742400,WET MOP-LARGE,General,1,15
70743200,Wet Mop-Extra Large ,General,1,2
70752400,Wet Mop-Blue-Large  ,General,1,2
74000000,Mat-Custom-Graphic  ,General,1,5
74000304,Mat-Graphic-3x4,General,1,8
74000310,Mat-Graphic-3x10    ,General,1,6
74000406,Mat-Graphic-4x6,General,1,36
74000408,Mat-Graphic-4x8     ,General,1,1
74000510,Mat-Graphic-5x10,General,1,1
74880304,Mat-Logo-3x4        ,General,1,1
74880406,Mat-Logo-4x6        ,General,1,5
76000000,Mat-Custom-Logo     ,General,1,11
76000310,Mat-Custom-Logo-3x10,General,1,1
76000406,Mat-Custom-Logo-4x6 ,General,1,2
76060304,MAT-NY/RB-CH RED-3X4,General,1,6
76060310,MAT-NY/RB-CH RED3X10,General,1,2
76060406,MAT-NY/RB-CH RED-4X6,General,1,1
76065304,MAT-SUC BACK 3X4 RED,General,1,1
76065406,MAT-4X6 MEGAHOLD RED,General,1,1
76070304,MAT-NY/RB-HNYCMB-3X4,General,1,4
