CustomerNumber,AccountName,Address,RouteNumber,ServiceDay,ServiceDays
297833,Balance Yoga Center,2821 Bechelli Ln.,33,Monday,F
284916,Boba Tea and Coffee,2999 Churn Creek Rd,33,Monday,F
319797,Chic Salon,2948 Churn Creek Road,33,Monday,F
322720,Chick-fil-A at I-5 & Bonnyview,4086 South Bonnyview Road,33,Monday,F
255920,FTH - Churncreek,2650 Churn Creek Rd,33,Monday,F
255921,FTH - Churncreek - D/S,2650 Churn Creek Rd,33,Monday,F
311566,Fat Daddy's BBQ,942 Hartnell Avenue,33,Monday,F
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,33,Monday,MWF
295680,It's Jerky,3094 Crossroads Dr.,33,Monday,F
294790,Las Maria's,2640 Bechelli Lane,33,Monday,F
315654,Los Gordos,5200 Churn Creek Road Suite L,33,Monday,F
306462,Lumberjacks Restaurant,501 East Cypress Avenue,33,Monday,F
311673,Luna Restaurant,2914 Churn Creek Road,33,Monday,F
292679,Panda Express # 3022,4660 Churn Creek,33,Monday,F
292663,Panda Express DS # 3022,4660 Churn Creek,33,Monday,F
320041,Robin Montgomery - Massage Therapy,3609 Bechelli Ln Unit G,33,Monday,F
300466,Save Mart # 612 Bakery,4631 Churn Creek Road,33,Monday,F
300467,Save Mart # 612 Deli,4631 Churn Creek Road,33,Monday,F
300459,Save Mart # 612 Grocery,4631 Churn Creek Road,33,Monday,F
300457,Save Mart # 612 Meat,4631 Churn Creek Road,33,Monday,F
300464,Save Mart # 612 Produce,4631 Churn Creek Road,33,Monday,F
301488,Save Mart #612 - Restaurant,4631 Churn Creek Road,33,Monday,F
280003,Shasta Lanes,11093 Black Marble Ln,33,Monday,F
278200,Shasta Ortho LPT,1255 Liberty St,33,Monday,MWF
279524,Shasta Ortho LPT - COG Hot Pads,1255 Liberty St,33,Monday,F
278202,Shasta Ortho Mats,1255 Liberty St,33,Monday,F
278198,Shasta Ortho SOSM,1255 Liberty St,33,Monday,MWF
317707,Sourdough Bread Company,4641 Churn Creek Road Suite 2,33,Monday,F
