Description,TotalQuantity
TOWEL-BARMOP-BLSTR,2005
TOWEL-FACE,1300
Towel-Bar-Mop-Bagged,600
SLIP-P-42X36,490
TWL- BEAUTY STM-BLK,315
APRON-BIB-POLY-BLACK,200
Blouse           Cog,190
Towel-Kitchen,175
Shirts           Cog,159
Apron-In&Out     Cog,143
SHEET-SNGL-DC-66X115,140
GRILL-PAD,70
APRON-BIB-POLY-RED,40
Twl-Micro-Grn-15x16 ,40
MOP-WET-TUBE-MF-BL-L,34
APRON-BIB-SPUN-WHITE,20
MAT-NY/RB-OX GRY-3X4,16
TC-SIG-BLACK 52X72,15
MOP-WET-MF-FL-RD-24I,13
MAT-NY/RB-OX GRY-4X6,10
MAT-OXF GRY-MHL-4X6,7
MAT-NY/RB-OX GRY3X10,6
Dust Mop-36 Untreate,3
WET MOP-LARGE,3
"MICRO F MOP-18""",2
Mat-Graphic-4x6,2
Mat-Custom-Logo     ,2
Logo Mat         Cog,1
Dust Mop-24 Untreate,1
