id,RouteNumber,ServiceDay,item_id,description,total_quantity
1,03,Monday,1640000,APRON-BIB-POLY-BLACK,100
2,03,Monday,11281619,TOWEL-BARMOP-BLSTR,500
3,03,Monday,11601837,TOWEL-FACE,360
4,03,Monday,41282450,TOWEL-BATH-DLX-24X50,560
5,03,Monday,87399054,CLTH-MF-AP-YELLOW-16,1400
6,03,Monday,91373537,Slider-Patient Green,9
7,03,Monday,94020000,BLANKET-BATH,310
8,03,Monday,94030000,Hosp-Blkt-Flnhb-Sand,190
9,03,Monday,94700000,Pillow Case - Hosp,950
10,03,Monday,94740000,Sheet-Draw - Hosp,10
11,03,Monday,94776615,Sheet-Sngle-Hlthcare,260
12,03,Monday,94778237,Sht-Knit-Contour-Wh,150
13,03,Monday,94980000,Washcloth-Hospital,3600
14,03,Monday,95120000,GOWN-IV-PRINT,280
15,03,Monday,95170000,Plus Gown,20
16,05,Tuesday,1640000,APRON-BIB-POLY-BLACK,245
17,05,Tuesday,1660000,Apron-Bib-Poly-Blue,13
18,05,Tuesday,11100000,GRILL-PAD,113
19,05,Tuesday,11281619,TOWEL-BARMOP-BLSTR,2555
20,05,Tuesday,11421836,TOWEL-DISH,10
21,05,Tuesday,11601837,TOWEL-FACE,605
22,05,Tuesday,11641629,TOWEL-GLASS,150
23,05,Tuesday,11720000,Towel-Kitchen,1565
24,05,Tuesday,11920000,Towel-Steam-Bar,40
25,05,Tuesday,12221818,Towel-Shop-Blue,675
26,05,Tuesday,12240000,Towel-Shop-Dyed,7065
27,05,Tuesday,12301818,TOWEL-SHOP-WHITE,850
28,05,Tuesday,12701526,TOWEL-WINDSHIELD,25
29,05,Tuesday,12900000,COVER-SEAT-AUTO,4
30,05,Tuesday,12940000,COVER-FENDER-AUTO,52
31,05,Tuesday,12950000,Fender Buddy,1
32,05,Tuesday,14200000,MICF TWL 16X16 YEL,100
33,05,Tuesday,14200002,Twl-Micro-Grn-15x16 ,825
34,05,Tuesday,40304234,SLIP-P-42X36,115
35,05,Tuesday,40758412,SHEET-T250-DBL-WHT,30
36,05,Tuesday,40766615,SHEET-SNGL-DC-66X115,120
37,05,Tuesday,41082030,BATH MAT-WHITE,45
38,05,Tuesday,41340000,Towel-Bath-Jumbo,450
39,05,Tuesday,41669525,TWL- BEAUTY STM-BLK,540
40,05,Tuesday,41720000,Towel-School-Yellow,70
41,05,Tuesday,41820000,WASH CLOTH,175
42,05,Tuesday,70402032,MOP-WET-TB-MF-BL-XL,2
43,05,Tuesday,70544200,Dust Mop-42         ,11
44,05,Tuesday,70622400,Dust Mop-24 Untreate,64
45,05,Tuesday,70623600,Dust Mop-36 Untreate,56
46,05,Tuesday,70624200,Dust Mop-42 Untreate,4
47,05,Tuesday,70626000,Dust Mop-60 Untreate,25
48,05,Tuesday,70666000,Dust Mop-60in-2hole ,4
